3898, -2266, 5084, -6716, 4063, 1332, 4845, 0
5070, 370, 2415, -7855, 2355, 3744, 3117, 0
8186, -3834, 6784, -11136, 4211, 2942, 15, 0
7498, -3690, 4478, -8286, 4276, 2424, 1492, 0
1729, 2623, -232, -4120, 399, 1146, 1527, 0
4308, -500, 1680, -5488, 2020, 4646, 3574, 0
7115, -2763, 4861, -9213, 3991, -1010, -933, 0
7770, -3418, 4206, -8558, 5605, -1222, -1311, 0
3811, -2723, 3674, -4762, 3792, 3532, 2916, 0
3062, 1290, 1429, -5781, 6243, 454, -553, 0
2703, 561, 291, -3555, 5065, -118, -2899, 0
4251, 645, 240, -5136, 1585, 3588, 5067, 0
4778, -970, 2707, -6515, 5753, -1350, -307, 0
4130, 1310, 361, -5801, 4054, 1116, 3022, 0
742, -198, 755, -1299, 7281, 148, -1285, 0
4244, -980, 3241, -6505, 2256, -1076, -156, 0
4563, -2387, 4419, -6595, 3861, -1678, -135, 0
6450, -2642, 5526, -9334, 1466, 1974, 1680, 0
6477, -5389, 6996, -8084, 3935, -800, 3009, 0
6685, -5597, 8285, -9373, 7303, -2664, -3615, 0
1890, -1346, 4098, -4642, 5530, -1834, -624, 0
1954, -866, 2537, -3625, 4879, 216, -3047, 0
2310, 954, 684, -3948, 3756, 2018, 3442, 0
1699, 1021, -202, -2518, 1345, 784, 943, 0
1437, 1283, 60, -2780, 5268, 1472, 3500, 0
7884, -5708, 7086, -9262, 4416, 1044, -1364, 0
3166, -1534, 4319, -5951, 5427, -352, -4051, 0
2233, 1031, -736, -2528, 5343, 60, -2331, 0
1081, -537, 1913, -2457, 5834, 632, 702, 0
3566, -302, 925, -4189, 3449, 3288, 1455, 0
5164, -2988, 5315, -7491, 4692, 3538, -38, 0
4234, -1514, 3251, -5971, 3961, 972, 187, 0
7518, -2622, 4458, -9354, 5204, 1912, 52, 0
7622, -5446, 7348, -9524, 5111, 2156, 1949, 0
3482, -1850, 2506, -4138, 5064, 1362, -1306, 0
970, 662, 2024, -3656, 3479, -330, -77, 0
2562, 158, 432, -3152, 5296, 1444, 3500, 0
3428, -1796, 4057, -5689, 4090, 1846, 208, 0
1494, 138, 1500, -3132, 3590, 32, -550, 0
1420, -876, 3071, -3615, 4635, 4162, 419, 0
4966, -2246, 4016, -6736, 6355, -442, -2841, 0
3304, -40, 1187, -4451, 5427, -58, -249, 0
7360, -5184, 7610, -9786, 8064, -3026, -4014, 0
1420, -876, 3071, -3615, 3303, -570, 1363, 0
4358, -3270, 6121, -7209, 6522, -532, -870, 0
4328, 568, 1660, -6556, 584, 2748, 3836, 0
4113, -849, 3372, -6636, 5203, 2446, 2591, 0
6709, -1813, 2273, -7169, 5066, -230, -2788, 0
2169, 551, 825, -3545, 5045, 2168, 3027, 0
5265, -4721, 5214, -5758, 3303, -46, -2233, 0
